Trip Start Timestamp,Trip ID,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Fare,Tip,Additional Charges,Trip Total,Shared Trip Authorized,Trips Pooled,Pickup Centroid Latitude,Pickup Centroid Longitude,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Year,Month,Weekday,Hour of Day
2018-12-21 04:15:00,52f1eec4ff0588e2875331afed15111f21b50a34,2018-12-21 04:30:00,859.0,8.8,35.0,49.0,13.3,0.0,2.5,15.8,False,1,41.83563423304294,-87.61823188205494,41.70537295273019,-87.6201974632341,2018,12,Friday,4
2018-12-21 04:15:00,e7847a69c3f6896cb9f6f1bdeb06458a2cc50999,2018-12-21 04:45:00,1391.0,14.3,22.0,76.0,33.65,4.0,0.0,37.65,True,2,41.92193358538708,-87.69968735889113,41.981428946785364,-87.91377293253618,2018,12,Friday,4
2018-12-21 04:30:00,a52dee0e0deca781e94a961605918b2c867a58ba,2018-12-21 04:45:00,957.0,6.3,23.0,28.0,13.29,0.0,2.5,15.79,False,1,41.90047967842114,-87.72290765800268,41.873758782173944,-87.66366909466203,2018,12,Friday,4
2018-12-21 04:30:00,d71c82f0ea14844beb3ff6f89a2b7224485f8b6c,2018-12-21 04:45:00,743.0,6.2,8.0,3.0,18.04,3.0,0.0,21.04,True,2,41.899596612758295,-87.62492864720362,41.972414148669934,-87.6637566069648,2018,12,Friday,4
2018-12-21 04:30:00,3b7fbf52b112781830d2573ba4f90da97f45a5ff,2018-12-21 05:00:00,1856.0,15.5,6.0,76.0,42.98,0.0,8.8,51.78,False,1,41.944412462013794,-87.65651736033882,41.98187736584313,-87.91418098274357,2018,12,Friday,4
2018-12-21 04:45:00,4012def94feb1951500988139a3a5e7cca7bf0c6,2018-12-21 05:00:00,1085.0,9.3,25.0,28.0,15.15,0.0,3.11,18.26,False,1,41.891025530798274,-87.75549511144449,41.87494491859405,-87.6628920057872,2018,12,Friday,4
2018-12-21 04:45:00,eeb8e255c3e8903cf96af98f96006b8905f738e6,2018-12-21 05:00:00,1057.0,13.1,,76.0,20.49,4.0,8.67,33.16,False,1,,,41.97885175932375,-87.91337640353103,2018,12,Friday,4
2018-12-21 04:45:00,e1066d3ff71d453c2018bf1ecd1b8f354814ec33,2018-12-21 05:15:00,1904.0,15.3,5.0,56.0,23.81,0.0,8.0,31.81,False,1,41.94838288691678,-87.68415693539588,41.793288982173934,-87.76912956142685,2018,12,Friday,4
2018-12-21 04:45:00,b87b6232dc5f1ee2c73f528498a7a17e4a711297,2018-12-21 05:15:00,1641.0,12.8,4.0,76.0,20.42,0.0,8.0,28.42,False,1,41.975147139386074,-87.6893757053818,41.98052699895143,-87.91418222267643,2018,12,Friday,4
2018-12-21 05:00:00,f2effbd3ab67b7c0f5f8672197eac08a0114f5e0,2018-12-21 05:15:00,1173.0,14.9,76.0,24.0,18.01,0.0,8.0,26.01,False,1,41.97978284926194,-87.91422034565122,41.90177757079506,-87.67698465970624,2018,12,Friday,5
2018-12-21 05:00:00,715b6963fcd441f9b59b9863c982f821d0a90fa3,2018-12-21 05:30:00,1877.0,25.7,41.0,76.0,46.6,0.0,8.28,54.88,False,1,41.794427180175575,-87.59387655267928,41.98054680336446,-87.91356815576385,2018,12,Friday,5
2018-12-21 05:15:00,e2819777f2f6c38472e0ab458310b93ba114d2e7,2018-12-21 05:45:00,1813.0,18.6,8.0,76.0,26.52,0.0,8.0,34.519999999999996,False,1,41.893330746186074,-87.61332971185897,41.97963322489312,-87.90272517975849,2018,12,Friday,5
2018-12-21 05:45:00,ca26533b6154d1f18ac730f40928829caa62cd46,2018-12-21 06:15:00,2204.0,23.5,38.0,76.0,32.08,5.5,7.5,45.08,False,1,41.813521009942505,-87.6181790819868,41.98219736361354,-87.91335854398348,2018,12,Friday,5
2018-12-21 05:45:00,f3e8d0f7a70e9b49daaa5031acc59ba46da07982,2018-12-21 06:15:00,1733.0,16.4,42.0,56.0,22.55,0.0,8.0,30.55,False,1,41.77536418677264,-87.58078420329628,41.785535929564396,-87.74868491203902,2018,12,Friday,5
2018-12-21 05:45:00,22d2bf6dd77efa9df53c7164741e31729cc734ab,2018-12-21 06:30:00,2419.0,30.9,8.0,,37.96,0.0,2.5,40.46,False,1,41.890888532208834,-87.63202339924396,,,2018,12,Friday,5
2018-12-21 06:00:00,78964c8a6547c1ef7f41bad1426ba5bfc1757c29,2018-12-21 06:00:00,365.0,1.7,62.0,64.0,5.12,0.0,3.0,8.120000000000001,False,1,41.795094508156346,-87.72371250583082,41.78022501169743,-87.76810382992551,2018,12,Friday,6
2018-12-21 06:00:00,ded7c847a2d9a8909405a2ecf8463de2ff0aef90,2018-12-21 06:15:00,413.0,2.2,22.0,24.0,5.5,0.0,2.5,8.0,False,1,41.92327480829751,-87.69933694352619,41.90120131545179,-87.67709719988457,2018,12,Friday,6
2018-12-21 06:00:00,02ec645cf40fa89cea6e8a2904b0190809b3de38,2018-12-21 06:15:00,896.0,5.1,35.0,8.0,10.33,0.0,2.5,12.83,False,1,41.83494493076204,-87.6108908956985,41.89179452221632,-87.6275198613631,2018,12,Friday,6
2018-12-21 06:00:00,385e46d4667f50209aeb13a5b06d1fa3311e9c37,2018-12-21 06:30:00,1448.0,15.8,28.0,53.0,22.92,0.0,3.0,25.92,False,1,41.87389184108724,-87.66459011113237,41.67214480000082,-87.63617282637426,2018,12,Friday,6
2018-12-21 06:00:00,6837f81058f7eaf3c1771e7baec2259e3f3e7df7,2018-12-21 06:30:00,2212.0,18.3,6.0,56.0,34.01,5.0,7.5,46.51,False,1,41.943708636455035,-87.66277633805416,41.786622227080244,-87.75078968703727,2018,12,Friday,6
